,scalerank,featurecla,type,sov_a3,note,edited,name,namealt,namealtt,routeraw,question,length_km,toll,ne_part,label,label2,local,localtype,localalt,labelrank,ignore,add,rwdb_rd_id,orig_fid,prefix,uident,continent,expressway,level,min_zoom,min_label,geometry
10,3,Road,Major Highway,MEX,,"Version 1.5: Changed alignment, a few adds in N.A.",,,,,0,16,0,ne_1d4_original,,,,,,0,0,0,0,0,,276705,North America,1,Interstate,3.0,6.0,"LINESTRING (-99.30891485919821 19.34092795617458, -99.26723659142533 19.363503684551556, -99.23424129610513 19.39997216885283, -99.22034854018084 19.42602108621088, -99.20298259527546 19.42602108621088)"
15,3,Road,Major Highway,MEX,,"Version 1.5: Changed alignment, a few adds in N.A.",95D,,,,0,120,0,ne_1d4_original,,,,,,0,0,0,0,0,,288405,North America,1,Interstate,3.0,6.0,"LINESTRING (-99.51730619806263 17.600860276656697, -99.5207793870437 17.614753032580992, -99.5068866311194 17.635592166467433, -99.5068866311194 17.646011733410653, -99.49646706417619 17.66511427280656, -99.49473046968565 17.68074362322139, -99.50862322560994 17.699846162617295, -99.51035982010048 17.70852913506998, -99.48257430825188 17.76236356427662, -99.48604749723296 17.791885670615745, -99.4686815523276 17.804041832049503, -99.440896040479 17.84398350533185, -99.42700328455471 17.852666477784535, -99.40963733964934 17.847456694312925, -99.40616415066827 17.863086044727755, -99.36274928840484 17.942969391292447, -99.28633913082123 18.00548679295177, -99.2377144850862 18.07321397808271, -99.20992897323761 18.097526300950225, -99.204719189766 18.114892245855593, -99.20992897323761 18.177409647514917, -99.20298259527546 18.184356025477065, -99.21513875670922 18.215614726306725, -99.21513875670922 18.252083210608, -99.20645578425653 18.264239372041757, -99.20992897323761 18.283341911437663, -99.17346048893634 18.38232779739826, -99.16998729995527 18.41532309271846, -99.17346048893634 18.470894116415636, -99.18735324486063 18.49520643928315, -99.21340216221869 18.559460435433014)"
25,3,Road,Major Highway,MEX,,"Version 1.5: Changed alignment, a few adds in N.A.",150D,,,,0,28,0,ne_1d4_original,,,,,,0,0,0,0,0,,277405,North America,1,Interstate,3.0,6.0,"LINESTRING (-98.66463830320906 19.34961092862726, -98.6715846811712 19.34613773964619, -98.6715846811712 19.337454767193503, -98.69416040954818 19.33050838923136, -98.71152635445355 19.33571817270297, -98.74625824426428 19.307932660854377, -98.76883397264126 19.297513093911157, -98.78272672856555 19.299249688401694, -98.79488288999931 19.314879038816525, -98.81572202388575 19.314879038816525, -98.88171261452615 19.29577649942062)"
30,3,Road,Major Highway,MEX,,"Version 1.5: Changed alignment, a few adds in N.A.",57D,,,,0,46,0,ne_1d4_original,,,,,,0,0,0,0,0,,244505,North America,1,Interstate,3.0,6.0,"LINESTRING (-100.88226946762455 25.58745833863547, -100.86664011720973 25.564882610258493, -100.86490352271919 25.531887314938295, -100.87358649517188 25.49020904716541, -100.8041227155504 25.43637461795877, -100.79543974309772 25.361701054865687, -100.79543974309772 25.309603220149583, -100.78154698717341 25.292237275244215, -100.78328358166395 25.26097857441455, -100.73813212491 25.221036901132205, -100.74160531389107 25.205407550717375)"
44,3,Road,Major Highway,MEX,,"Version 1.5: Changed alignment, a few adds in N.A.",110,,,,0,58,0,ne_1d4_original,,,,,,0,0,0,0,0,,274705,North America,1,Interstate,3.0,6.0,"LINESTRING (-103.54967860508908 19.398235574362293, -103.5357858491648 19.419074708248733, -103.50452714833513 19.445123625606787, -103.48542460893923 19.452070003568934, -103.44895612463796 19.533689944624165, -103.42464380177044 19.537163133605237, -103.42638039626098 19.547582700548457, -103.44548293565688 19.577104806887583, -103.46284888056225 19.632675830584763, -103.48368801444869 19.663934531414423, -103.51841990425943 19.75423744492234, -103.49584417588245 19.8184914410722, -103.50626374282567 19.853223330882937)"
45,3,Road,Major Highway,MEX,,"Version 1.5: Changed alignment, a few adds in N.A.",110,,,,0,61,0,ne_1d4_original,,,,,,0,0,0,0,0,,271805,North America,1,Interstate,3.0,6.0,"LINESTRING (-103.5548883885607 20.393304217439884, -103.57572752244714 20.388094433968273, -103.57225433346606 20.34988935517646, -103.52189309324051 20.19359585102815, -103.50105395935407 20.16060055570795, -103.53404925467426 19.995624079106953, -103.53057606569318 19.940053055409777, -103.50973693180674 19.882745437222063, -103.50626374282567 19.853223330882937)"
53,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",5,,,,0,100,0,ne_1d4_original,,,,,,0,0,0,0,0,,40505,North America,1,Interstate,3.0,6.0,"LINESTRING (-123.36422174211405 43.15832139388689, -123.37811449803836 43.16874096083011, -123.37464130905728 43.180897122263865, -123.36074855313298 43.20520944513138, -123.3520655806803 43.29724895312983, -123.3329630412844 43.354556571317545, -123.34164601373708 43.39102505561882, -123.32254347434117 43.50216710301317, -123.31386050188848 43.51605985893747, -123.29302136800204 43.53689899282391, -123.28433839554937 43.56121131569142, -123.2200843993995 43.61157255591699, -123.21834780490896 43.64283125674665, -123.20271845449413 43.67929974104793, -123.2009818600036 43.694929091462754, -123.20966483245628 43.7157682253492, -123.2009818600036 43.72792438678296, -123.16451337570233 43.753973304141006, -123.11415213547676 43.74702692617886, -123.09157640709978 43.752236709650475, -123.04468835585529 43.79738816640443, -123.0169028440067 43.8668519460259, -123.0030100880824 43.939788914628444, -123.00474668257294 43.99535993832563, -123.04468835585529 44.040511395079584, -123.04642495034582 44.070033501418706)"
66,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",80,,,,0,309,0,ne_1d4_original,,,,,,0,0,0,0,0,,96505,North America,1,Interstate,3.0,6.0,"LINESTRING (-107.18263427929209 41.78814834085334, -107.21736616910283 41.77425558492905, -107.27120059830946 41.77946536840066, -107.3198252440445 41.77599217941959, -107.38581583468489 41.791621529834416, -107.40144518509973 41.791621529834416, -107.54210933883321 41.75515304553314, -107.70361262645314 41.73778710062778, -107.8060717013948 41.710001588779186, -107.84080359120554 41.70479180530758, -107.92068693777023 41.7013186163265, -107.99536050086331 41.67353310447791, -108.29579134772618 41.63359143119557, -108.42256274553537 41.63359143119557, -108.70562764749288 41.649220781610396, -108.75077910424683 41.67353310447791, -108.79940374998186 41.68742586040221, -108.84976499020742 41.69437223836436, -108.9053360139046 41.69437223836436, -108.93138493126266 41.67353310447791, -108.96611682107338 41.66658672651577, -109.03558060069486 41.638801214667176, -109.07378567948668 41.63359143119557, -109.19534729382426 41.59364975791322, -109.20403026627693 41.6023327303659, -109.22313280567283 41.607542513837515, -109.23702556159714 41.6023327303659, -109.25612810099304 41.576283813007855, -109.29433317978484 41.56239105708356, -109.37595312084008 41.53807873421604, -109.42978755004673 41.52939576176336, -109.48883176272497 41.5311323562539, -109.53919300295054 41.55891786810248, -109.55482235336537 41.56239105708356, -109.62428613298684 41.54328851768766, -109.867409361662 41.54328851768766, -109.91082422392542 41.546761706668725)"
69,5,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",86,,,,0,124,0,ne_1d4_original,,,,,,0,0,0,0,0,,74705,North America,1,Interstate,5.0,7.4,"LINESTRING (-112.43409601867539 42.90998838174012, -112.45667174705237 42.913461570721196, -112.50876958176848 42.91172497623066, -112.60949206221962 42.88741265336314, -112.69111200327484 42.87699308641992, -112.74320983799095 42.84747098008079, -112.80051745617867 42.81100249577952, -112.85261529089476 42.7675876335161, -112.89603015315818 42.73806552717698, -112.92902544847838 42.70507023185678, -112.9915428501377 42.680757908989264, -113.08184576364562 42.62866007427316, -113.26766137413306 42.59566477895296, -113.406588933376 42.58177202302866, -113.49862844137446 42.566142672613836)"
70,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",84,,,,0,107,0,ne_1d4_original,,,,,,0,0,0,0,0,,74805,North America,1,Interstate,3.0,6.0,"LINESTRING (-113.50210163035553 42.5644060781233, -113.64102918959847 42.559196294651684, -113.75911761495497 42.57829883404759, -113.87894263480202 42.586981806500276, -114.07344121774214 42.57829883404759, -114.1567977532879 42.58524521200974, -114.28530574558764 42.58177202302866, -114.33393039132267 42.59392818446242, -114.41034054890628 42.63907964121638, -114.45028222218863 42.64428942468799)"
